,PM10
0,16.0
1,27.0
2,27.0
3,17.0
4,5.0
5,3.0
6,3.0
7,6.0
8,11.0
9,4.0
10,2.0
11,7.0
12,3.0
13,7.0
14,5.0
15,6.0
16,22.0
17,27.0
18,26.0
19,30.0
20,38.0
21,47.0
22,32.0
23,23.0
24,19.0
25,12.0
26,10.0
27,13.0
28,8.0
29,5.0
30,4.0
31,8.0
32,3.0
33,11.0
34,4.0
35,5.0
36,13.0
37,10.0
38,14.0
39,22.0
40,21.0
41,22.0
42,15.0
43,26.0
44,32.0
45,33.0
46,36.0
47,27.0
48,22.0
49,20.0
50,19.0
51,13.0
52,11.0
53,14.0
54,13.0
55,11.0
56,9.0
57,17.0
58,13.0
59,21.0
60,30.0
61,31.0
62,32.0
63,31.0
64,32.0
65,29.0
66,19.0
67,26.0
68,24.0
69,33.0
70,31.0
71,28.0
72,25.0
73,18.0
74,17.0
75,15.0
76,18.0
77,15.0
78,12.0
79,17.0
80,18.0
81,20.0
82,16.0
83,26.0
84,22.0
85,25.0
86,18.0
87,13.0
88,15.0
89,8.0
90,2.0
91,8.0
92,3.0
93,1.0
94,1.0
95,5.0
96,1.0
97,5.0
98,3.0
99,15.0
100,2.0
101,4.0
102,4.0
103,1.0
104,4.0
105,2.0
106,7.0
107,10.0
108,2.0
109,1.0
110,2.0
111,1.0
112,5.0
113,12.0
114,11.0
115,2.0
116,1.0
117,1.0
118,1.0
119,15.0
120,5.0
121,1.0
122,3.0
123,1.0
124,4.0
125,4.0
126,5.0
127,1.0
128,1.0
129,6.0
130,3.0
131,3.0
132,5.0
133,17.0
134,8.0
135,11.0
136,13.0
137,19.0
138,13.0
139,12.0
140,15.0
141,18.0
142,10.0
143,5.0
144,10.0
145,14.0
146,12.0
147,6.0
148,9.0
149,3.0
150,8.0
151,17.0
152,11.0
153,26.0
154,26.0
155,35.0
156,16.0
157,17.0
158,11.0
159,1.0
160,1.0
161,1.0
162,8.0
163,10.0
164,4.0
165,1.0
166,9.0
167,19.0
168,12.0
169,11.0
170,17.0
171,19.0
172,10.0
173,16.0
174,21.0
175,16.0
176,10.0
177,13.0
178,5.0
179,20.0
180,26.0
181,17.0
182,31.0
183,31.0
184,24.0
185,24.0
186,15.0
187,13.0
188,10.0
189,7.0
190,8.0
191,17.0
192,13.0
193,9.0
194,3.0
195,1.0
196,11.0
197,1.0
198,1.0
199,13.0
200,10.0
201,13.0
202,12.0
203,2.0
204,4.0
205,6.0
206,4.0
207,13.0
208,1.0
209,7.0
210,
211,6.0
212,7.0
213,5.0
214,3.0
215,12.0
216,1.0
217,2.0
218,13.0
219,7.0
220,3.0
221,1.0
222,3.0
223,12.0
224,5.0
225,6.0
226,25.0
227,25.0
228,8.0
229,
230,
231,
232,25.0
233,2.0
234,5.0
235,8.0
236,3.0
237,3.0
238,5.0
239,7.0
240,4.0
241,6.0
242,6.0
243,2.0
244,1.0
245,6.0
246,5.0
247,6.0
248,12.0
249,17.0
250,31.0
251,36.0
252,34.0
253,24.0
254,18.0
255,19.0
256,14.0
257,5.0
258,7.0
259,6.0
260,5.0
261,8.0
262,11.0
263,4.0
264,4.0
265,4.0
266,5.0
267,3.0
268,1.0
269,2.0
270,4.0
271,6.0
272,7.0
273,10.0
274,14.0
275,12.0
276,7.0
277,5.0
278,4.0
279,8.0
280,7.0
281,5.0
282,5.0
283,9.0
284,13.0
285,28.0
286,26.0
287,12.0
288,7.0
289,4.0
290,4.0
291,4.0
292,3.0
293,4.0
294,1.0
295,2.0
296,7.0
297,9.0
298,10.0
299,8.0
300,9.0
301,8.0
302,11.0
303,10.0
304,8.0
305,7.0
306,9.0
307,12.0
308,12.0
309,15.0
310,21.0
311,18.0
312,10.0
313,8.0
314,9.0
315,8.0
316,4.0
317,3.0
318,6.0
319,5.0
320,8.0
321,12.0
322,14.0
323,
324,
325,
326,7.0
327,6.0
328,13.0
329,9.0
330,
331,13.0
332,11.0
333,10.0
334,18.0
335,16.0
336,12.0
337,10.0
338,5.0
339,5.0
340,6.0
341,9.0
342,6.0
343,5.0
344,6.0
345,11.0
346,15.0
347,13.0
348,14.0
349,13.0
350,17.0
351,16.0
352,19.0
353,13.0
354,15.0
355,20.0
356,22.0
357,22.0
358,34.0
359,36.0
360,35.0
361,30.0
362,32.0
363,28.0
364,16.0
365,13.0
366,15.0
367,11.0
368,9.0
369,10.0
370,13.0
371,14.0
372,21.0
373,24.0
374,25.0
375,18.0
376,25.0
377,24.0
378,23.0
379,23.0
380,24.0
381,25.0
382,33.0
383,36.0
384,30.0
385,25.0
386,21.0
387,18.0
388,14.0
389,9.0
390,6.0
391,6.0
392,17.0
393,18.0
394,18.0
395,19.0
396,24.0
397,30.0
398,28.0
399,29.0
400,24.0
401,13.0
402,19.0
403,20.0
404,23.0
405,28.0
406,29.0
407,27.0
408,26.0
409,15.0
410,10.0
411,10.0
412,9.0
413,9.0
414,8.0
415,6.0
416,10.0
417,14.0
418,14.0
419,18.0
420,20.0
421,11.0
422,12.0
423,11.0
424,12.0
425,10.0
426,18.0
427,29.0
428,37.0
429,52.0
430,54.0
431,32.0
432,15.0
433,6.0
434,7.0
435,6.0
436,5.0
437,2.0
438,4.0
439,11.0
440,12.0
441,16.0
442,20.0
443,22.0
444,16.0
445,16.0
446,13.0
447,18.0
448,27.0
449,26.0
450,
451,36.0
452,42.0
453,32.0
454,33.0
455,41.0
456,29.0
457,23.0
458,20.0
459,9.0
460,7.0
461,5.0
462,7.0
463,7.0
464,16.0
465,20.0
466,13.0
467,12.0
468,10.0
469,8.0
470,2.0
471,8.0
472,8.0
473,9.0
474,8.0
475,8.0
476,8.0
477,8.0
478,5.0
479,4.0
480,5.0
481,4.0
482,4.0
483,2.0
484,1.0
485,2.0
486,4.0
487,2.0
488,8.0
489,12.0
490,9.0
491,10.0
492,15.0
493,12.0
494,12.0
495,8.0
496,9.0
497,2.0
498,6.0
499,5.0
500,6.0
501,5.0
502,8.0
503,7.0
504,6.0
505,5.0
506,2.0
507,4.0
508,4.0
509,5.0
