,PM2.5
0,15.0
1,25.0
2,25.0
3,15.0
4,3.0
5,2.0
6,2.0
7,6.0
8,11.0
9,3.0
10,1.0
11,5.0
12,2.0
13,4.0
14,3.0
15,4.0
16,18.0
17,21.0
18,18.0
19,19.0
20,26.0
21,34.0
22,25.0
23,19.0
24,14.0
25,9.0
26,9.0
27,10.0
28,6.0
29,4.0
30,3.0
31,7.0
32,2.0
33,9.0
34,3.0
35,3.0
36,11.0
37,8.0
38,10.0
39,16.0
40,16.0
41,18.0
42,10.0
43,21.0
44,26.0
45,26.0
46,30.0
47,23.0
48,19.0
49,17.0
50,17.0
51,12.0
52,9.0
53,13.0
54,13.0
55,10.0
56,8.0
57,15.0
58,8.0
59,15.0
60,23.0
61,23.0
62,26.0
63,27.0
64,27.0
65,22.0
66,12.0
67,19.0
68,18.0
69,29.0
70,23.0
71,22.0
72,21.0
73,13.0
74,12.0
75,12.0
76,14.0
77,10.0
78,7.0
79,13.0
80,14.0
81,15.0
82,8.0
83,21.0
84,17.0
85,21.0
86,12.0
87,7.0
88,9.0
89,6.0
90,1.0
91,8.0
92,1.0
93,1.0
94,1.0
95,4.0
96,1.0
97,6.0
98,3.0
99,17.0
100,2.0
101,3.0
102,3.0
103,1.0
104,2.0
105,1.0
106,4.0
107,8.0
108,2.0
109,1.0
110,1.0
111,1.0
112,2.0
113,9.0
114,12.0
115,2.0
116,1.0
117,1.0
118,1.0
119,16.0
120,5.0
121,1.0
122,3.0
123,1.0
124,4.0
125,4.0
126,5.0
127,1.0
128,1.0
129,5.0
130,3.0
131,3.0
132,4.0
133,16.0
134,6.0
135,10.0
136,11.0
137,18.0
138,10.0
139,7.0
140,10.0
141,14.0
142,6.0
143,3.0
144,7.0
145,11.0
146,10.0
147,3.0
148,9.0
149,3.0
150,5.0
151,14.0
152,3.0
153,22.0
154,19.0
155,27.0
156,11.0
157,11.0
158,8.0
159,1.0
160,1.0
161,1.0
162,7.0
163,8.0
164,2.0
165,1.0
166,7.0
167,16.0
168,9.0
169,10.0
170,15.0
171,16.0
172,8.0
173,13.0
174,19.0
175,14.0
176,8.0
177,10.0
178,2.0
179,18.0
180,23.0
181,14.0
182,29.0
183,28.0
184,20.0
185,23.0
186,13.0
187,10.0
188,8.0
189,5.0
190,4.0
191,17.0
192,11.0
193,6.0
194,2.0
195,1.0
196,8.0
197,1.0
198,1.0
199,13.0
200,10.0
201,14.0
202,11.0
203,1.0
204,1.0
205,4.0
206,3.0
207,12.0
208,1.0
209,6.0
210,
211,4.0
212,6.0
213,3.0
214,3.0
215,14.0
216,1.0
217,2.0
218,14.0
219,7.0
220,2.0
221,1.0
222,2.0
223,11.0
224,3.0
225,3.0
226,15.0
227,18.0
228,3.0
229,
230,
231,
232,1.0
233,1.0
234,1.0
235,5.0
236,2.0
237,1.0
238,3.0
239,6.0
240,3.0
241,3.0
242,4.0
243,2.0
244,2.0
245,5.0
246,3.0
247,4.0
248,7.0
249,10.0
250,17.0
251,22.0
252,21.0
253,14.0
254,11.0
255,11.0
256,9.0
257,3.0
258,3.0
259,4.0
260,1.0
261,5.0
262,9.0
263,3.0
264,3.0
265,3.0
266,4.0
267,2.0
268,1.0
269,2.0
270,3.0
271,5.0
272,4.0
273,6.0
274,10.0
275,6.0
276,1.0
277,2.0
278,2.0
279,5.0
280,4.0
281,2.0
282,1.0
283,1.0
284,2.0
285,15.0
286,15.0
287,8.0
288,5.0
289,2.0
290,3.0
291,3.0
292,2.0
293,3.0
294,1.0
295,1.0
296,3.0
297,3.0
298,3.0
299,3.0
300,4.0
301,5.0
302,7.0
303,7.0
304,5.0
305,3.0
306,4.0
307,7.0
308,8.0
309,10.0
310,17.0
311,16.0
312,8.0
313,6.0
314,8.0
315,7.0
316,2.0
317,2.0
318,4.0
319,3.0
320,3.0
321,6.0
322,9.0
323,
324,
325,
326,3.0
327,2.0
328,9.0
329,5.0
330,
331,8.0
332,7.0
333,7.0
334,14.0
335,12.0
336,9.0
337,8.0
338,5.0
339,4.0
340,6.0
341,8.0
342,4.0
343,3.0
344,4.0
345,8.0
346,11.0
347,10.0
348,10.0
349,9.0
350,14.0
351,12.0
352,15.0
353,9.0
354,9.0
355,14.0
356,16.0
357,16.0
358,28.0
359,28.0
360,29.0
361,25.0
362,29.0
363,26.0
364,13.0
365,11.0
366,14.0
367,9.0
368,8.0
369,7.0
370,10.0
371,11.0
372,16.0
373,19.0
374,20.0
375,15.0
376,21.0
377,17.0
378,16.0
379,16.0
380,17.0
381,19.0
382,27.0
383,30.0
384,26.0
385,23.0
386,19.0
387,16.0
388,13.0
389,7.0
390,5.0
391,3.0
392,7.0
393,14.0
394,13.0
395,14.0
396,18.0
397,21.0
398,18.0
399,21.0
400,18.0
401,7.0
402,11.0
403,12.0
404,13.0
405,19.0
406,21.0
407,19.0
408,19.0
409,11.0
410,8.0
411,8.0
412,9.0
413,7.0
414,7.0
415,4.0
416,5.0
417,9.0
418,8.0
419,12.0
420,13.0
421,6.0
422,7.0
423,6.0
424,9.0
425,7.0
426,8.0
427,10.0
428,14.0
429,23.0
430,29.0
431,22.0
432,11.0
433,4.0
434,6.0
435,4.0
436,3.0
437,1.0
438,2.0
439,8.0
440,8.0
441,9.0
442,12.0
443,16.0
444,10.0
445,10.0
446,9.0
447,11.0
448,19.0
449,17.0
450,
451,21.0
452,25.0
453,20.0
454,22.0
455,29.0
456,18.0
457,17.0
458,12.0
459,5.0
460,5.0
461,3.0
462,4.0
463,2.0
464,8.0
465,9.0
466,7.0
467,7.0
468,5.0
469,4.0
470,1.0
471,5.0
472,5.0
473,5.0
474,5.0
475,5.0
476,5.0
477,6.0
478,3.0
479,3.0
480,3.0
481,2.0
482,3.0
483,2.0
484,1.0
485,2.0
486,3.0
487,2.0
488,5.0
489,8.0
490,4.0
491,6.0
492,12.0
493,7.0
494,8.0
495,6.0
496,6.0
497,1.0
498,3.0
499,2.0
500,3.0
501,2.0
502,6.0
503,6.0
504,5.0
505,3.0
506,1.0
507,3.0
508,2.0
509,4.0
510,7.0
511,7.0
512,8.0
513,4.0
514,8.0
515,8.0
516,6.0
517,7.0
518,11.0
519,9.0
520,12.0
521,7.0
522,10.0
523,6.0
524,7.0
525,14.0
526,12.0
527,9.0
528,13.0
529,13.0
530,13.0
531,11.0
532,7.0
533,7.0
534,8.0
535,8.0
536,5.0
537,2.0
538,4.0
539,3.0
540,3.0
541,4.0
542,5.0
543,8.0
544,3.0
545,4.0
546,8.0
547,4.0
548,3.0
549,3.0
550,9.0
551,13.0
552,7.0
553,9.0
554,10.0
555,6.0
556,8.0
557,8.0
558,6.0
559,8.0
560,7.0
561,7.0
562,6.0
563,9.0
564,6.0
565,5.0
566,4.0
567,4.0
568,2.0
569,7.0
570,
