Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;TOTAL;TOTAL;TOTAL;3843355
TOTAL;AUTOBUSES;TOTAL;TOTAL;8255
TOTAL;AUTOBUSES;Diesel;TOTAL;6366
TOTAL;AUTOBUSES;Diesel;2000;64
TOTAL;AUTOBUSES;Diesel;2001;88
TOTAL;AUTOBUSES;Diesel;2002;59
TOTAL;AUTOBUSES;Diesel;2003;46
TOTAL;AUTOBUSES;Diesel;2004;121
TOTAL;AUTOBUSES;Diesel;2005;190
TOTAL;AUTOBUSES;Diesel;2006;234
TOTAL;AUTOBUSES;Diesel;2007;310
TOTAL;AUTOBUSES;Diesel;2008;286
TOTAL;AUTOBUSES;Diesel;2009;205
TOTAL;AUTOBUSES;Diesel;2010;228
TOTAL;AUTOBUSES;Diesel;2011;495
TOTAL;AUTOBUSES;Diesel;2012;323
TOTAL;AUTOBUSES;Diesel;2013;388
TOTAL;AUTOBUSES;Diesel;2014;283
TOTAL;AUTOBUSES;Diesel;2015;407
TOTAL;AUTOBUSES;Diesel;2016;502
TOTAL;AUTOBUSES;Diesel;2017;564
TOTAL;AUTOBUSES;Diesel;2018;645
TOTAL;AUTOBUSES;Diesel;2019;617
TOTAL;AUTOBUSES;Diesel;2020;311
TOTAL;AUTOBUSES;Eléctrico;TOTAL;162
TOTAL;AUTOBUSES;Eléctrico;2007;4
TOTAL;AUTOBUSES;Eléctrico;2008;1
TOTAL;AUTOBUSES;Eléctrico;2012;19
TOTAL;AUTOBUSES;Eléctrico;2014;1
TOTAL;AUTOBUSES;Eléctrico;2015;14
TOTAL;AUTOBUSES;Eléctrico;2016;18
TOTAL;AUTOBUSES;Eléctrico;2017;22
TOTAL;AUTOBUSES;Eléctrico;2018;8
TOTAL;AUTOBUSES;Eléctrico;2019;58
TOTAL;AUTOBUSES;Eléctrico;2020;17
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;TOTAL;10
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2002;1
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2012;1
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2014;1
