Municipio residencia,Tipo de Vehiculo,Carburante,Total
Humanes de Madrid,AUTOBUSES,Diesel,15
Humanes de Madrid,CAMIONES HASTA 3500kg,Diesel,1293
Humanes de Madrid,CAMIONES HASTA 3500kg,Gas Licuado de Petroleo,18
Humanes de Madrid,CAMIONES HASTA 3500kg,Gas Natural Comprimido,3
Humanes de Madrid,CAMIONES HASTA 3500kg,Gas Natural Licuado,1
Humanes de Madrid,CAMIONES HASTA 3500kg,Gasolina,22
Humanes de Madrid,CAMIONES MAS DE 3500kg,Diesel,470
Humanes de Madrid,CAMIONES MAS DE 3500kg,Gas Licuado de Petroleo,4
Humanes de Madrid,CAMIONES MAS DE 3500kg,Gas Natural Licuado,2
Humanes de Madrid,CAMIONES MAS DE 3500kg,Gasolina,3
Humanes de Madrid,CICLOMOTORES,Diesel,11
Humanes de Madrid,CICLOMOTORES,Electrico,6
Humanes de Madrid,CICLOMOTORES,Gasolina,190
Humanes de Madrid,FURGONETAS,Diesel,1596
Humanes de Madrid,FURGONETAS,Electrico,5
Humanes de Madrid,FURGONETAS,Gas Licuado de Petroleo,35
Humanes de Madrid,FURGONETAS,Gas Natural Comprimido,8
Humanes de Madrid,FURGONETAS,Gasolina,168
Humanes de Madrid,MOTOCICLETAS,Electrico,7
Humanes de Madrid,MOTOCICLETAS,Gasolina,833
Humanes de Madrid,OTROS VEHiCULOS,Diesel,185
Humanes de Madrid,OTROS VEHiCULOS,Electrico,23
Humanes de Madrid,OTROS VEHiCULOS,Gas Licuado de Petroleo,1
Humanes de Madrid,OTROS VEHiCULOS,Gasolina,49
Humanes de Madrid,OTROS VEHiCULOS,Sin especificar,2
Humanes de Madrid,REMOLQUES,Sin especificar,127
Humanes de Madrid,SEMIRREMOLQUES,Sin especificar,153
Humanes de Madrid,TRACTORES INDUSTRIALES,Diesel,112
Humanes de Madrid,TURISMOS,Diesel,7208
Humanes de Madrid,TURISMOS,Electrico,59
Humanes de Madrid,TURISMOS,Gas Licuado de Petroleo,118
Humanes de Madrid,TURISMOS,Gas Natural Comprimido,24
Humanes de Madrid,TURISMOS,Gasolina,4454
Humanes de Madrid,TURISMOS,Sin especificar,1
Madrid,AUTOBUSES,Butano,1
Madrid,AUTOBUSES,Diesel,4350
Madrid,AUTOBUSES,Electrico,279
Madrid,AUTOBUSES,Gas Licuado de Petroleo,3
