Matriculaciones
Indicadores: Turismos, Motocicletas, Autobuses, Tractores Industriales, Ciclomotores, Camiones > 3500kg, Camiones <= 3500kg, Furgonetas, Otros vehículos, Remolques, Semiremolques
Filtro de Atributos temporales: Año=2014
Filtro de Atributos: Municipio de residencia=Madrid

Tipo de vehículo;Total
AUTOBUSES;122
CAMIONES HASTA 3500kg;1122
CAMIONES MÁS DE 3500kg;186
CICLOMOTORES;869
FURGONETAS;2724
MOTOCICLETAS;8002
OTROS VEHÍCULOS;61
REMOLQUES;129
SEMIRREMOLQUES;67
TRACTORES INDUSTRIALES;250
TURISMOS;49455
