Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;TOTAL;TOTAL;TOTAL;1792274
TOTAL;AUTOBUSES;TOTAL;TOTAL;4857
TOTAL;AUTOBUSES;Diesel;TOTAL;3329
TOTAL;AUTOBUSES;Diesel;2014;283
TOTAL;AUTOBUSES;Diesel;2015;407
TOTAL;AUTOBUSES;Diesel;2016;502
TOTAL;AUTOBUSES;Diesel;2017;564
TOTAL;AUTOBUSES;Diesel;2018;645
TOTAL;AUTOBUSES;Diesel;2019;617
TOTAL;AUTOBUSES;Diesel;2020;311
TOTAL;AUTOBUSES;Eléctrico;TOTAL;138
TOTAL;AUTOBUSES;Eléctrico;2014;1
TOTAL;AUTOBUSES;Eléctrico;2015;14
TOTAL;AUTOBUSES;Eléctrico;2016;18
TOTAL;AUTOBUSES;Eléctrico;2017;22
TOTAL;AUTOBUSES;Eléctrico;2018;8
TOTAL;AUTOBUSES;Eléctrico;2019;58
TOTAL;AUTOBUSES;Eléctrico;2020;17
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;TOTAL;8
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2014;1
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2015;3
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2016;1
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2017;2
TOTAL;AUTOBUSES;Gas Licuado de Petroleo;2018;1
TOTAL;AUTOBUSES;Gas Natural Comprimido;TOTAL;1378
TOTAL;AUTOBUSES;Gas Natural Comprimido;2014;39
TOTAL;AUTOBUSES;Gas Natural Comprimido;2015;41
TOTAL;AUTOBUSES;Gas Natural Comprimido;2016;191
TOTAL;AUTOBUSES;Gas Natural Comprimido;2017;257
TOTAL;AUTOBUSES;Gas Natural Comprimido;2018;254
TOTAL;AUTOBUSES;Gas Natural Comprimido;2019;247
TOTAL;AUTOBUSES;Gas Natural Comprimido;2020;349
TOTAL;AUTOBUSES;Gas Natural Licuado;TOTAL;1
TOTAL;AUTOBUSES;Gas Natural Licuado;2019;1
TOTAL;AUTOBUSES;Gasolina;TOTAL;2
TOTAL;AUTOBUSES;Gasolina;2014;1
TOTAL;AUTOBUSES;Gasolina;2018;1
TOTAL;AUTOBUSES;Otros;TOTAL;1
TOTAL;AUTOBUSES;Otros;2017;1
TOTAL;CAMIONES HASTA 3500kg;TOTAL;TOTAL;62454
TOTAL;CAMIONES HASTA 3500kg;Diesel;TOTAL;59386
TOTAL;CAMIONES HASTA 3500kg;Diesel;2014;3315
TOTAL;CAMIONES HASTA 3500kg;Diesel;2015;4828
TOTAL;CAMIONES HASTA 3500kg;Diesel;2016;5465
TOTAL;CAMIONES HASTA 3500kg;Diesel;2017;7537
TOTAL;CAMIONES HASTA 3500kg;Diesel;2018;11744
TOTAL;CAMIONES HASTA 3500kg;Diesel;2019;14804
TOTAL;CAMIONES HASTA 3500kg;Diesel;2020;11693
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;TOTAL;643
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2014;8
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2015;39
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2016;38
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2017;46
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2018;162
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2019;174
TOTAL;CAMIONES HASTA 3500kg;Eléctrico;2020;176
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;TOTAL;1137
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2014;2
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2015;10
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2016;21
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2017;60
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2018;246
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2019;514
TOTAL;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2020;284
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;TOTAL;545
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2014;7
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2015;50
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2016;15
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2017;50
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2018;85
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2019;199
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2020;139
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Licuado;TOTAL;1
TOTAL;CAMIONES HASTA 3500kg;Gas Natural Licuado;2018;1
TOTAL;CAMIONES HASTA 3500kg;Gasolina;TOTAL;737
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2014;44
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2015;77
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2016;65
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2017;67
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2018;140
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2019;240
TOTAL;CAMIONES HASTA 3500kg;Gasolina;2020;104
TOTAL;CAMIONES HASTA 3500kg;Otros;TOTAL;2
TOTAL;CAMIONES HASTA 3500kg;Otros;2015;1
TOTAL;CAMIONES HASTA 3500kg;Otros;2018;1
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;TOTAL;3
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;2015;2
TOTAL;CAMIONES HASTA 3500kg;Sin especificar;2017;1
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;TOTAL;10361
TOTAL;CAMIONES MÁS DE 3500kg;Butano;TOTAL;1
