NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD;CODIGO
Lateral C. BAILEN;Mayor-Requena;Mayor;19/04/2018;26/04/2018;40,41567;-3,71357;01010163
Lateral C. BAILEN;Mayor-Requena;Requena;19/04/2018;26/04/2018;40,4157;-3,71335;01010164
Paso Elevado C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Espana (Pz.);20/04/2018;27/04/2018;40,42087;-3,71284;01010165
Paso Elevado C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Plaza Marina Espanola;20/04/2018;27/04/2018;40,42093;-3,71288;01010166
Lateral C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Plaza Marina Espanola;20/04/2018;27/04/2018;40,42095;-3,7129;01010167
Lateral C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Espana (Pz.);19/04/2018;26/04/2018;40,42083;-3,71278;01010168
Tunel C. BAILEN;San Quintin-Plaza Marina Espanola;Plaza Marina Espanola;19/04/2018;26/04/2018;40,42051;-3,71278;01010169
Tunel C. BAILEN;San Quintin-Plaza Marina Espanola;San Quintin;19/04/2018;26/04/2018;40,42046;-3,71289;01010170
Lateral C. BAILEN;San Quintin-Plaza Marina Espanola;San Quintin;19/04/2018;26/04/2018;40,42046;-3,71289;01010171
Lateral C. BAILEN;San Quintin-Plaza Marina Espanola;Plaza Marina Espanola;28/06/2018;05/07/2018;40,42051;-3,71278;01010172
 Pza. ESPANA;Bailen-Gran Via;Bailen;17/05/2018;24/05/2018;40,42262;-3,71224;01010398
 C. MAYOR;Bailen-Cripta Catedral;Bailen;20/04/2018;27/04/2018;40,41512;-3,71401;01010611
 C. MAYOR;Bailen-Cripta Catedral;Cripta Catedral;20/04/2018;27/04/2018;40,41513;-3,71413;01010612
 C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);04/05/2018;11/05/2018;40,41405;-3,7188;01010809
 C. SEGOVIA;(Juan Duque)-(Mazarredo);(Juan Duque);19/04/2018;26/04/2018;40,41406;-3,71886;01010810
C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);19/04/2018;26/04/2018;40,41405;-3,71875;01010811
 C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Puerta Toledo (Gt¦.);20/04/2018;27/04/2018;40,40736;-3,7113;01010850
 C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Capitan Salazar Martinez;20/04/2018;27/04/2018;40,40738;-3,71129;01010851
