CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
1010398; Pza. ESPANA;Bailen-Gran Via;Bailen;09/09/2019;16/09/2019;40,42262;-3,71224
1010478; C. GRAN VIA;San Bernardo-Garcia Molinas;Garcia Molinas;16/09/2019;23/09/2019;40,42146;-3,7079
1010479; C. GRAN VIA;San Bernardo-Garcia Molinas;San Bernardo;16/09/2019;23/09/2019;40,42146;-3,7079
1010480; C. GRAN VIA;San Bernardo-Garcia Molinas;Garcia Molinas;16/09/2019;23/09/2019;40,42143;-3,70793
1010611; C. MAYOR;Bailen-Cripta Catedral;Bailen;09/09/2019;16/09/2019;40,41512;-3,71401
1010612; C. MAYOR;Bailen-Cripta Catedral;Cripta Catedral;09/09/2019;16/09/2019;40,41513;-3,71413
1010809; C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);10/09/2019;17/09/2019;40,41405;-3,7188
1010810; C. SEGOVIA;(Juan Duque)-(Mazarredo);(Juan Duque);10/09/2019;17/09/2019;40,41406;-3,71886
1010812; C. SEGOVIA;Costanilla de San Pedro-Costanilla de San Andres;Costanilla de San Pedro;14/03/2019;21/03/2019;40,41351;-3,71122
1010813; C. SEGOVIA;Costanilla de San Pedro-Costanilla de San Andres;Costanilla de San Andres;14/03/2019;21/03/2019;40,41351;-3,71122
1010850; C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Puerta Toledo (Gt¦.);23/09/2019;30/09/2019;40,40736;-3,7113
1010851; C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Capitan Salazar Martinez;23/09/2019;30/09/2019;40,40738;-3,71129
1010887; Paseo. VIRGEN DEL PUERTO;Ciudad de Plasencia-Plaza de San Vicente;Plaza de San Vicente;11/09/2019;18/09/2019;40,41822;-3,72024
1010888; Paseo. VIRGEN DEL PUERTO;Ciudad de Plasencia-Plaza de San Vicente;Ciudad de Plasencia;11/09/2019;18/09/2019;40,41805;-3,72026
1010999; C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;San Isidro Labrador;15/10/2019;22/10/2019;40,41095;-3,71278
1011000; C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;Las Aguas;15/10/2019;22/10/2019;40,41098;-3,71278
1011003; C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Paseo Ciudad de Plasencia;13/09/2019;20/09/2019;40,4146;-3,71681
1011004; C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Segovia;13/09/2019;20/09/2019;40,41454;-3,71688
1011208; C. BAILEN;Mayor-Moreria;Moreria;23/05/2019;30/05/2019;40,41447;-3,71351
1011209; C. BAILEN;Mayor-Moreria;Mayor;23/05/2019;30/05/2019;40,41453;-3,71372
1011430; C. MAYOR;Bailen-Almudena;Bailen;20/08/2019;27/08/2019;40,41509;-3,7128
1011431; C. MAYOR;Bailen-Almudena;Almudena;20/08/2019;27/08/2019;40,41518;-3,71281
1011532; C. SAN BERNARDO;Plaza de Santo Domingo-Gran Via;Gran Via;18/06/2019;25/06/2019;40,42119;-3,70808
1011533; C. SAN BERNARDO;Plaza de Santo Domingo-Gran Via;Plaza de Santo Domingo;18/06/2019;25/06/2019;40,42119;-3,70808
1011564; Pte. SEGOVIA;Virgen del Puerto-Puente Segovia (Gt¦.);Puente Segovia (Gt¦.);20/08/2019;27/08/2019;40,41403;-3,72253
1012054; C. GRAN VIA DE SAN FRANCISCO;Carrera de San Francisco-Rosario;Rosario;23/07/2019;30/07/2019;40,40991;-3,71378
1012055; C. GRAN VIA DE SAN FRANCISCO;San Bernabe-Ventosa;San Bernabe;07/03/2019;14/03/2019;40,40891;-3,71327
1012374; C. PRETIL DE LOS CONSEJOS;Plaza de la Cruz Verde-Sacramento;Sacramento;21/08/2019;28/08/2019;40,41448;-3,71244
1012446;Lateral C. RONDA DE SEGOVIA;Glorieta Puerta de Toledo-Aguila;Aguila;21/08/2019;28/08/2019;40,40782;-3,71395
1012447;Lateral C. RONDA DE SEGOVIA;Glorieta Puerta de Toledo-Aguila;Glorieta Puerta de Toledo;21/08/2019;28/08/2019;40,40761;-3,7141
1012474; C. SACRAMENTO;Duque de Najera-Traviesa;Traviesa;21/08/2019;28/08/2019;40,41468;-3,71133
1012562; C. TINTOREROS, LOS;Puerta Cerrada (Pz.)-Toledo;Puerta Cerrada (Pz.);27/08/2019;03/09/2019;40,41357;-3,70788
1012770; C. CAVA BAJA;Plaza Humilladero-Almendro;Plaza Humilladero;27/08/2019;03/09/2019;40,41188;-3,71026
1012809; C. CUESTA DE SAN VICENTE;Cadarso-Arriaza;Cadarso;10/03/2019;17/03/2019;40,42106667;-3,714333333
1012810; C. CUESTA DE SAN VICENTE;Cadarso-Arriaza;Arriaza;10/03/2019;17/03/2019;40,42106667;-3,714333333
1013144; C. LEGANITOS;Torija-Doctor Carracido;Torija;27/08/2019;03/09/2019;40,42103;-3,70975
1020149; C. ATOCHA;Alameda-San Pedro;Alameda;06/09/2019;13/09/2019;40,40998;-3,69428
1020150; C. ATOCHA;Alameda-San Pedro;San Pedro;06/09/2019;13/09/2019;40,40996;-3,69431
1020308; C. CONCEPCION JERONIMA;Santo Tomas-Salvador;Salvador;11/03/2019;18/03/2019;40,41373;-3,70565
1021058; C. MAGDALENA, LA;Olivar-Ave Maria;Ave Maria;10/09/2019;17/09/2019;40,41241;-3,70095
